epoch,lr_proposed,lr_ref_linear_same_epoch,lr_ref_poly_same_epoch
0,1,1,1
1,0.999,0.999,0.99909995
2,0.998,0.998,0.99819982
3,0.997,0.997,0.99729959
4,0.996,0.996,0.99639928
5,0.995,0.995,0.99549887
6,0.994,0.994,0.99459838
7,0.993,0.993,0.99369779
8,0.992,0.992,0.99279711
9,0.991,0.991,0.99189634
10,0.99,0.99,0.99099548
11,0.989,0.989,0.99009453
12,0.988,0.988,0.98919349
13,0.987,0.987,0.98829236
14,0.986,0.986,0.98739113
15,0.985,0.985,0.98648982
16,0.984,0.984,0.98558841
17,0.983,0.983,0.98468691
18,0.982,0.982,0.98378532
19,0.981,0.981,0.98288364
20,0.98,0.98,0.98198187
21,0.979,0.979,0.98108
22,0.978,0.978,0.98017804
23,0.977,0.977,0.97927599
24,0.976,0.976,0.97837385
25,0.975,0.975,0.97747161
26,0.974,0.974,0.97656929
27,0.973,0.973,0.97566687
28,0.972,0.972,0.97476435
29,0.971,0.971,0.97386175
30,0.97,0.97,0.97295905
31,0.969,0.969,0.97205626
32,0.968,0.968,0.97115337
33,0.967,0.967,0.97025039
34,0.966,0.966,0.96934732
35,0.965,0.965,0.96844415
36,0.964,0.964,0.9675409
37,0.963,0.963,0.96663754
38,0.962,0.962,0.9657341
39,0.961,0.961,0.96483056
40,0.96,0.96,0.96392692
41,0.959,0.959,0.96302319
42,0.958,0.958,0.96211937
43,0.957,0.957,0.96121545
44,0.956,0.956,0.96031144
45,0.955,0.955,0.95940733
46,0.954,0.954,0.95850313
47,0.953,0.953,0.95759884
48,0.952,0.952,0.95669445
49,0.951,0.951,0.95578996
50,0.95,0.95,0.95488538
51,0.949,0.949,0.95398071
52,0.948,0.948,0.95307593
53,0.947,0.947,0.95217107
54,0.946,0.946,0.95126611
55,0.945,0.945,0.95036105
56,0.944,0.944,0.94945589
57,0.943,0.943,0.94855064
58,0.942,0.942,0.9476453
59,0.941,0.941,0.94673986
60,0.94,0.94,0.94583432
61,0.939,0.939,0.94492869
62,0.938,0.938,0.94402295
63,0.937,0.937,0.94311713
64,0.936,0.936,0.9422112
65,0.935,0.935,0.94130518
66,0.934,0.934,0.94039906
67,0.933,0.933,0.93949285
68,0.932,0.932,0.93858654
69,0.931,0.931,0.93768013
70,0.93,0.93,0.93677362
71,0.929,0.929,0.93586702
72,0.928,0.928,0.93496032
73,0.927,0.927,0.93405352
74,0.926,0.926,0.93314662
75,0.925,0.925,0.93223963
76,0.924,0.924,0.93133253
77,0.923,0.923,0.93042534
78,0.922,0.922,0.92951805
79,0.921,0.921,0.92861066
80,0.92,0.92,0.92770318
81,0.919,0.919,0.92679559
82,0.918,0.918,0.92588791
83,0.917,0.917,0.92498013
84,0.916,0.916,0.92407225
85,0.915,0.915,0.92316426
86,0.914,0.914,0.92225618
87,0.913,0.913,0.921348
88,0.912,0.912,0.92043973
89,0.911,0.911,0.91953135
90,0.91,0.91,0.91862287
91,0.909,0.909,0.91771429
92,0.908,0.908,0.91680561
93,0.907,0.907,0.91589684
94,0.906,0.906,0.91498796
